Group,Competency Question,Related Concepts,Example SPARQL Query
Agents,Which  which generated which execution trace of this plan?,"Plan, MultiActivity, ExecutionTraceBundle","SELECT DISTINCT ?agent ?executionTrace

WHERE 
{
     <PlanURI> a ep-plan:Plan.
     ?executionTrace a ep-plan:ExecutionTraceBundle; prov:wasGeneratedBy ?executionActivity.
     ?executionActivity prov:wasAssociatedWith ?agent; a ep-plan:MultiActivity.

     ?executionTrace prov:wasDerivedFrom <PlanURI>.
     
}"
,Which agents are allowed to participate in this plan?,"ResponsibleAgent, Plan","SELECT DISTINCT ?agent 
     
     WHERE {
          <PlanURI> a ep-plan:Plan; ep-plan:includesResponsibleAgent ?agent.
     }"
,Which agents are allowed to participate in this plan (search all abstraction layers)?,"ResponsibleAgent,Plan","SELECT DISTINCT ?agent 
     
     WHERE {
     {
          <PlanURI> a ep-plan:Plan; ep-plan:includesResponsibleAgent ?agent.
     }
     UNION {
          ?subPlan ep-plan:isSubPlanOfPlan* <PlanURI>; ep-plan:includesResponsibleAgent ?agent.
     }
     }"
,Which agents are allowed to participate in execution of this step?,"Step, ResponsibleAgent","SELECT DISTINCT ?agent 
     
     WHERE {
     
          <stepURI> a ep-plan:Step; ep-plan:hasPermittedAgent ?agent.
     }"
,Which agents are allowed to participate in execution of this composite step (search all abstraction layers)?,"MultiStep, Plan, ResponsibleAgent","SELECT DISTINCT ?agent 

     WHERE {
     {
          <StepURI> a ep-plan:MultiStep; ep-plan:canBeResponsibilityOf ?agent.
     }
     UNION
     {
          <StepURI> ep-plan:isDecomposedAsPlan ?plan.
          {
          ?plan a ep-plan:Plan; ep-plan:includesResponsibleAgent ?agent.
          }
          Union
          {
          ?subPlan ep-plan:isSubPlanOfPlan* ?plan; ep-plan:includesResponsibleAgent ?agent.
          }
     }
     }"
,Which agents that were allowed to participate in execution of this step were recorded as part of the execution trace?,"Agent, ResponsibleAgent, Activity","SELECT DISTINCT  ?agent ?activity
     
     WHERE {
     
          <stepURI> a ep-plan:Step; ep-plan:hasPermittedAgent ?agent.
          ?agent a ep-plan:ResponsibleAgent; a ep-plan:Agent.
          ?activity a ep-plan:Activity; ep-plan:correspondsToStep <stepURI>; prov:wasAssociatedWith ?agent.
     }"
Constraints,What constraints are associated with which steps of this plan?,"Constraint, Step, Plan"," SELECT DISTINCT ?constraint ?step 

     WHERE 
     {
          <PlanURI> a ep-plan:Plan; ep-plan:includesConstraint ?constraint; ep-plan:includesStep ?step.
          ?step ep-plan:hasConstraint ?constraint; a ep-plan:Step.
          ?constraint a ep-plan:Constraint.
     }
     "
,Which executions of this step satisfied which constraints?,"ExecutionTraceBundle,Step,Constraint,Activity,Plan","SELECT DISTINCT ?constraint ?activity 

     WHERE 
     {
          <PlanURI> ep-plan:includesConstraint ?constraint; ep-plan:includesStep ?step.
          ?step ep-plan:hasConstraint ?constraint; a ep-plan:Step.
          ?constraint a ep-plan:Constraint.
          ?activity ep-plan:correspondsToStep ?step; a ep-plan:Activity.
          ?activity ep-plan:satisfied ?constraint.
          ?execTraceBundle prov:wasDerivedFrom  <PlanURI>; ep-plan:hasTraceElement ?activity.
     }"
,Which executions of which step violated which constraints?,"ExecutionTraceBundle,Step,Constraint,Activity,Plan","SELECT DISTINCT ?constraint ?activity 

     WHERE 
     {
          <PlanURI> ep-plan:includesConstraint ?constraint; ep-plan:includesStep ?step.
          ?step ep-plan:hasConstraint ?constraint; a ep-plan:Step.
          ?constraint a ep-plan:Constraint.
          ?activity ep-plan:correspondsToStep ?step; a ep-plan:Activity.
          ?activity ep-plan:violated ?constraint.
          ?execTraceBundle prov:wasDerivedFrom  <PlanURI>; ep-plan:hasTraceElement ?activity.
     }"
,Which constraints are restricting the exchange of data between  steps in this plan?,"Plan, CommunicationSpecification, Constraint","SELECT DISTINCT ?constraint ?commsSpec 

     WHERE 
     {
          <PlanURI> a ep-plan:Plan; ep-plan:includesCommunicationSpecification ?commsSpec; ep-plan:includesStep ?step.
          ?commsSpec ep-plan:hasConstraint ?constraint; a ep-plan:CommunicationSpecification.
          ?constraint a ep-plan:Constraint.
     }"
,Exchange of which data variable between which steps is restricted which constraint in this plan?,"Plan, CommunicationSpecification, Constraint, Variable, Step","SELECT DISTINCT ?constraint ?variable 

     WHERE 
     {
          <PlanURI>  a ep-plan:Plan; ep-plan:includesCommunicationSpecification ?commsSpec; ep-plan:includesStep ?step1; ep-plan:includesStep ?step2; ep-plan:includesVariable ?variable.
          ?commsSpec ep-plan:hasConstraint ?constraint; a ep-plan:CommunicationSpecification.
          ?constraint a ep-plan:Constraint.
          ?commsSpec ep-plan:hasSender ?step1; ep-plan:hasRecipient?step2; ep-plan:hasPayload ?variable.
          ?variable a ep-plan:Variable.
          ?step1 a ep-plan:Step.
          ?step2 a ep-plan:Step.
     }"
,Which step executions satisfied constraints restricting the exchange of data in this plan?,"Plan, CommunicationSpecification, Constraint, Variable, Step, Variable, Enntity, Communication","SELECT DISTINCT ?constraint ?senderActivity ?recipientActivity ?exchangedData

     WHERE 
     {
          <PlanURI> a ep-plan:Plan; ep-plan:includesCommunicationSpecification ?commsSpec; ep-plan:includesStep ?sender; ep-plan:includesStep ?recipient; ep-plan:includesVariable ?variable.

          ?senderActivity a ep-plan:Activity; ep-plan:correspondsToStep ?sender.
          ?exchangedData a ep-plan:Entity; prov:wasGeneratedBy ?senderActivity; ep-plan:correspondsToVariable ?variable. 
          ?recipientActivity a ep-plan:Activity; prov:used ?exchangedData; prov:qualifiedCommunication ?communication;ep-plan:correspondsToStep ?recipient.
          ?communication a ep-plan:Communication; ep-plan:correspondsToCommunicationSpecification ?commsSpec; prov:activity ?senderActivity.
          
          ?commsSpec ep-plan:hasConstraint ?constraint; a ep-plan:CommunicationSpecification.
          ?commsSpec ep-plan:hasSender ?sender; ep-plan:hasRecipient ?recipient; ep-plan:hasPayload ?variable.
          ?communication ep-plan:satisfied ?constraint.
     }"
Policies,What are the policies associated with this plan?,"Plan, Policy","SELECT DISTINCT ?policy

     WHERE 
     {
          <PlanURI> a ep-plan:Plan; ep-plan:includesPolicy ?policy. 
          ?policy a ep-plan:Policy.
     }"
,Which plan elements were included in this plan as a result of which policy?,"Policy,Plan,Rationale, Constraint, CommunicationSpecification, Step, Variable, ResponsibleAgent","SELECT DISTINCT ?policy ?planElement

     WHERE 
     {
          <PlanURI> a ep-plan:Plan; ep-plan:includesPolicy ?policy; ep-plan:includesPlanElement ?planElement. 
          ?policy a ep-plan:Policy; a ep-plan:Rationale.
          ?planElement ep-plan:hasRationale ?policy.
     }"
Rationales & Objectives,What is the rationale for including which plan elements?,"Plan,Rationale, Constraint, CommunicationSpecification, Step, Variable, ResponsibleAgent","SELECT DISTINCT ?rationale ?planElement

     WHERE 
     {
          <PlanURI> a ep-plan:Plan; ep-plan:includesPlanElement ?planElement.
          ?planElement ep-plan:hasRationale ?rationale. 
          ?rationale a ep-plan:Rationale. 
     }"
,What are the objectives of this plan and what is their rationale ?,"Rationale, Plan, Objective","SELECT DISTINCT ?objective ?rationale ?objectiveDescription

     WHERE 
     {
          <PlanURI> a ep-plan:Plan; ep-plan:includesObjective ?objective.
          ?objective a ep-plan:Objective; rdfs:comment ?objectiveDescription; ep-plan:hasRationale ?rationale. 
          
     }"
,Which plan elements are expected to achieve which objective of this plan?,"Plan,Objective, Constraint, CommunicationSpecification, Step, Variable, ResponsibleAgent","SELECT DISTINCT ?objective  ?objectiveDescription ?achievedBy

     WHERE 
     {
          <PlanURI> a ep-plan:Plan; ep-plan:includesObjective ?objective.
          ?objective a ep-plan:Objective; rdfs:comment ?objectiveDescription; ep-plan:isAchievedBy ?achievedBy. 
          
     }"
